age,years_experience,education,salary,target_highvalue
20,3,2,32236,1
23,1,1,31317,1
23,0,2,36206,1
59,18,3,81300,1
29,8,2,51883,1
39,7,1,42410,1
41,13,1,51465,1
56,17,2,73216,1
43,10,3,70778,1
26,1,1,30188,1
44,10,2,59537,1
44,13,1,60893,1
32,10,3,57671,1
21,3,2,48914,1
58,23,2,102928,1
59,20,1,59195,1
43,15,3,73093,1
44,15,1,63239,1
37,9,3,61527,1
57,19,3,81621,1
45,11,2,52303,1
33,6,2,44491,1
28,2,1,14241,1
29,8,2,48057,1
40,8,2,40765,1
36,10,1,38212,1
25,2,2,38962,1
35,10,1,34949,1
20,4,1,24906,1
38,9,2,57720,1
55,15,1,51214,1
44,12,2,60482,1
49,17,1,59369,1
39,13,3,65150,1
39,13,3,59932,1
34,9,2,49987,1
59,18,3,74770,1
52,19,3,72294,1
21,1,1,43312,1
29,6,2,38039,1
52,19,3,80750,1
51,18,3,72210,1
30,9,2,56147,1
43,12,1,65886,1
55,15,2,65635,1
31,4,1,31942,1
48,16,1,65322,1
54,17,3,78555,1
20,0,1,23579,1
20,2,2,47718,1
56,17,1,58411,1
25,0,3,33773,1
58,23,2,88188,1
37,8,1,47884,1
35,8,2,44450,1
24,3,1,28914,1
51,18,1,70563,1
21,1,1,16603,1
21,3,2,26561,1
59,21,1,74288,1
55,16,1,66754,1
58,19,1,70283,1
31,9,2,49912,1
38,9,1,40133,1
47,16,2,60094,1
20,2,1,30101,1
34,7,2,53174,1
55,17,1,75100,1
32,5,1,28771,1
40,9,3,62956,1
31,8,3,60148,1
24,1,1,33851,1
26,5,3,35041,1
24,5,1,24504,1
23,3,2,45731,1
32,8,2,35639,1
56,18,1,61422,1
34,8,2,62201,1
35,7,3,54911,1
40,9,1,53625,1
55,21,1,94122,1
43,12,2,55563,1
35,5,2,51505,1
33,7,2,45563,1
41,9,3,72819,1
25,1,1,7579,1
55,16,1,68864,1
20,3,2,23949,1
51,19,2,80915,1
25,1,3,20691,1
50,13,2,57868,1
20,3,1,28947,1
56,22,1,66002,1
54,18,3,62263,1
49,12,1,48960,1
23,1,2,27327,1
54,18,3,74688,1
33,6,2,29156,1
59,23,2,83933,1
41,10,1,63106,1
29,7,1,37324,1
20,0,2,19742,1
30,8,2,56913,1
43,10,3,58958,1
22,5,3,34144,1
54,18,3,70313,1
55,19,3,88726,1
50,19,1,55984,1
23,2,1,32171,1
38,13,1,52472,1
55,16,2,72804,1
40,11,2,60945,1
37,11,1,54700,1
47,12,1,54247,1
34,8,1,56455,1
21,1,1,13816,1
56,21,3,83405,1
30,5,3,39194,1
42,9,3,47027,1
31,6,2,49364,1
22,3,1,32704,1
36,6,2,45861,1
52,18,3,84716,1
20,3,1,25407,1
58,20,3,88700,1
39,13,1,50078,1
33,5,3,46209,1
50,18,3,90165,1
44,16,1,61981,1
22,2,2,25693,1
23,5,2,49126,1
50,15,1,45751,1
54,16,1,71519,1
33,8,2,51706,1
28,5,2,20700,1
39,12,3,61492,1
51,18,3,79646,1
28,8,3,48909,1
46,14,1,53485,1
22,0,3,44886,1
23,2,1,45688,1
34,5,2,42362,1
52,18,2,79990,1
24,3,1,18154,1
23,2,2,48572,1
31,4,1,32917,1
42,11,1,51114,1
33,9,1,57186,1
31,7,1,54164,1
36,6,1,42958,1
44,15,2,73865,1
49,12,2,49660,1
41,9,2,40297,1
45,10,1,35896,1
36,8,1,38481,1
39,10,1,39469,1
53,18,1,68259,1
52,19,3,81101,1
56,19,1,75439,1
26,2,3,24965,1
41,11,2,54016,1
51,15,2,52007,1
33,4,2,34079,1
27,6,3,51860,1
44,14,1,74360,1
35,7,2,35309,1
38,12,2,61463,1
35,11,1,51833,1
31,4,3,51136,1
58,21,2,87367,1
49,15,1,60843,1
21,0,2,31584,1
51,16,2,64804,1
44,12,2,56987,1
44,15,3,64964,1
23,1,1,21050,1
38,8,2,52570,1
23,5,2,34823,1
32,4,2,54187,1
58,18,3,80465,1
55,15,3,65160,1
42,10,3,62166,1
25,1,1,36095,1
43,13,3,56484,1
52,20,2,75080,1
31,3,2,34835,1
40,8,1,50890,1
30,8,2,46902,1
57,18,2,59196,1
48,15,2,58014,1
22,1,2,24166,1
47,11,2,53367,1
39,11,1,56981,1
45,16,3,79583,1
43,9,2,53233,1
40,13,2,55803,1
49,15,2,61251,1
23,2,1,25109,1
55,16,1,71820,1
59,21,1,72053,1
29,7,3,44655,1
29,4,1,34422,1
43,13,1,72050,1
23,0,1,20948,1
46,11,1,70513,1
23,5,1,46569,1
51,18,3,81345,1
29,8,3,48561,1
30,6,1,52858,1
47,11,1,55490,1
27,1,3,34120,1
59,18,2,75550,1
41,10,1,49685,1
53,14,3,63460,1
54,18,1,60281,1
54,18,3,70469,1
44,12,1,46450,1
53,16,2,58768,1
25,1,2,34475,1
56,22,2,96152,1
20,2,3,41349,1
31,6,2,46807,1
54,15,1,59224,1
25,1,3,43646,1
36,8,2,53945,1
28,2,2,31902,1
21,2,1,24136,1
37,11,1,53376,1
55,17,1,49654,1
47,17,3,79435,1
56,22,2,94900,1
45,14,3,72970,1
23,3,3,39890,1
59,20,2,75314,1
55,20,3,88332,1
50,16,2,64275,1
49,16,1,69093,1
53,19,1,88903,1
38,10,1,49838,1
37,11,3,51466,1
49,18,3,80509,1
40,13,3,65515,1
22,5,1,40060,1
25,2,1,29648,1
57,20,3,82851,1
32,8,1,46617,1
22,0,2,2223,1
47,12,3,66482,1
41,9,2,44502,1
59,18,2,82611,1
59,17,2,80418,1
31,4,2,51185,1
42,11,2,60617,1
50,13,1,37994,1
37,8,1,48141,1
26,2,1,30363,1
27,5,2,55680,1
38,13,2,70539,1
48,12,3,73290,1
39,13,2,61552,1
49,16,2,67165,1
41,14,1,54252,1
29,4,1,27036,1
45,12,2,50738,1
52,14,2,67229,1
47,17,1,76451,1
29,8,1,42129,1
48,17,1,66270,1
37,8,3,57048,1
20,3,2,35838,1
42,9,1,47859,1
36,8,1,50586,1
56,20,1,65528,1
50,16,2,58212,1
44,11,2,55342,1
23,0,2,35641,1
28,5,2,37467,1
47,14,1,54553,1
49,12,2,52977,1
43,11,2,52522,1
52,18,2,79759,1
39,8,3,51400,1
28,5,1,32182,1
27,6,2,44705,1
43,15,2,75445,1
33,9,2,45566,1
37,12,2,57250,1
20,1,3,37615,1
31,9,1,52391,1
48,15,1,72126,1
56,18,2,71156,1
45,15,1,57100,1
52,18,2,76839,1
34,8,1,50719,1
42,13,1,60384,1
48,13,2,42705,1
40,8,1,58283,1
38,7,3,52356,1
24,1,2,21623,1
42,9,2,50901,1
55,18,2,69160,1
39,12,2,69204,1
27,7,1,34701,1
28,4,1,24325,1
33,4,1,41374,1
25,1,1,27851,1
20,0,2,23549,1
28,3,1,24961,1
35,8,3,41892,1
35,6,3,65079,1
31,8,2,58361,1
24,3,2,33798,1
59,17,3,74214,1
48,14,3,73477,1
46,15,2,73463,1
30,8,1,48956,1
47,13,1,41514,1
55,19,1,72838,1
38,13,2,69407,1
54,15,3,83952,1
50,14,3,67591,1
38,13,1,63534,1
43,14,1,58263,1
21,3,3,53793,1
26,4,2,37577,1
50,16,1,66627,1
36,12,2,65887,1
46,14,2,58749,1
55,21,1,91783,1
29,2,1,33016,1
33,4,1,38665,1
26,6,1,47318,1
58,21,1,68416,1
59,19,1,69828,1
28,4,2,45180,1
33,10,1,50450,1
27,2,1,35614,1
36,10,1,47694,1
42,9,1,65556,1
35,5,1,37056,1
45,13,1,58398,1
28,6,2,52784,1
55,19,3,86079,1
26,1,2,22557,1
37,10,3,29475,1
27,4,1,40630,1
40,11,1,58036,1
45,15,2,57966,1
22,0,1,24961,1
36,6,2,52619,1
43,13,2,47074,1
44,15,2,60756,1
24,4,3,50405,1
56,21,3,84535,1
43,14,2,63034,1
50,18,2,58702,1
45,12,1,48243,1
40,12,1,44616,1
53,20,2,90972,1
57,20,1,77984,1
43,10,1,46938,1
47,16,3,65813,1
49,12,2,61257,1
53,18,2,64314,1
42,10,2,61626,1
27,5,3,47632,1
29,2,2,29170,1
20,0,3,19295,1
39,12,3,61145,1
56,22,1,66627,1
37,11,2,59778,1
40,14,2,60178,1
23,2,2,37294,1
21,0,3,30223,1
40,8,1,43639,1
56,17,3,77920,1
24,1,3,28546,1
36,7,2,37702,1
30,5,3,38620,1
50,14,2,70168,1
47,11,2,52138,1
51,14,1,40259,1
40,12,1,48604,1
26,7,2,35642,1
29,6,3,40743,1
47,14,1,48318,1
55,19,2,73333,1
39,10,2,46831,1
32,10,3,54295,1
38,11,1,56709,1
30,9,2,54789,1
54,17,2,69264,1
53,17,1,67534,1
23,5,2,54601,1
32,8,3,48674,1
56,19,1,73946,1
21,4,1,25791,1
20,3,1,30736,1
59,20,3,77674,1
44,14,2,59783,1
56,16,3,61536,1
55,16,2,55782,1
25,3,3,50423,1
26,6,1,38033,1
23,2,1,33622,1
54,18,1,74827,1
53,15,2,65149,1
48,17,1,51693,1
24,3,3,35549,1
46,17,3,70521,1
52,17,1,79473,1
29,6,1,35512,1
25,0,1,32055,1
53,19,1,72054,1
27,3,1,47288,1
50,15,2,75395,1
28,7,3,38011,1
40,9,1,47711,1
27,6,2,43947,1
23,4,3,37169,1
41,10,2,58746,1
47,11,2,61199,1
23,1,2,29853,1
58,17,3,71236,1
40,8,2,43422,1
27,5,1,31563,1
39,9,1,36463,1
51,16,2,60745,1
20,3,2,34658,1
25,1,2,33136,1
47,14,2,61550,1
50,15,2,65391,1
29,4,2,32899,1
39,10,1,58897,1
27,5,3,42356,1
41,10,2,57303,1
57,20,3,75191,1
48,18,2,71469,1
28,7,2,44121,1
20,3,2,35960,1
58,18,3,92951,1
45,12,1,52686,1
30,6,2,40336,1
54,19,2,77944,1
43,10,3,63600,1
52,14,1,66654,1
39,8,3,68421,1
46,15,3,81057,1
34,7,1,43085,1
52,16,2,61552,1
26,1,2,38239,1
53,20,2,75506,1
24,4,3,47776,1
49,14,2,48905,1
47,13,1,64594,1
37,10,2,51420,1
